ID,Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_SO2,Total_SO2,Density,pH,Sulphates,Alcohol,Quality
2391,7.0,0.28,0.26,Low,0.042,34.0,130.0,0.99-1.00,Acidic,0.5,10%,8
2392,6.5,0.24,0.29,Moderate,0.043,32.0,156.0,0.99-1.00,Neutral,0.7,10%,6
2393,6.4,0.17,0.34,Low,0.091,42.0,135.0,0.99-1.00,Acidic,0.49,9%,7
2394,6.4,0.17,0.34,Low,0.093,43.0,136.0,0.99-1.00,Acidic,0.49,9%,6
2395,6.3,0.695,0.55,Moderate,0.056,58.0,252.0,0.99-1.00,Acidic,0.51,8%,5
2396,7.0,0.27,0.29,Low,0.059,28.0,199.0,0.99-1.00,Acidic,0.59,10%,5
2397,8.4,0.3,0.25,High,0.047,25.0,218.0,>1.00,Highly Acidic,0.66,9%,5
2398,6.5,0.19,0.27,Low,0.037,13.0,101.0,0.99-1.00,Acidic,0.41,11%,6
2399,8.0,0.36,0.39,Low,0.024,26.0,93.0,0.99-1.00,Acidic,0.49,11%,6
2400,6.1,0.16,0.24,Low,0.046,17.0,77.0,0.99-1.00,Acidic,0.57,10%,6
2401,9.2,0.19,0.42,Low,0.047,16.0,104.0,0.99-1.00,Acidic,0.66,10%,4
2402,9.2,0.16,0.49,Low,0.044,18.0,107.0,0.99-1.00,Acidic,0.53,10%,4
2403,8.0,0.26,0.28,Moderate,0.038,72.0,202.0,0.99-1.00,Acidic,0.56,10%,6
2404,8.8,0.34,0.36,Low,0.034,19.0,125.0,0.99-1.00,Highly Acidic,0.98,12%,6
2405,9.8,0.16,0.46,Low,0.046,23.0,130.0,0.99-1.00,Acidic,0.67,9%,5
2406,6.6,0.23,0.18,Moderate,0.044,59.0,188.0,0.99-1.00,Acidic,0.49,9%,5
2407,7.9,0.44,0.26,Low,0.033,23.0,100.0,0.99-1.00,Acidic,0.52,12%,6
2408,7.6,0.31,0.27,Low,0.036,23.0,109.0,0.99-1.00,Acidic,0.54,11%,6
2409,,0.705,0.1,High,0.044,44.0,214.0,0.99-1.00,Acidic,0.5,9%,5
2410,7.1,0.2,0.28,Low,0.034,23.0,111.0,0.99-1.00,Acidic,0.64,10%,4
2411,7.0,0.17,0.26,Moderate,0.047,30.0,220.0,0.99-1.00,Acidic,0.58,10%,6
2412,8.0,0.27,0.25,High,0.045,50.0,208.0,>1.00,Acidic,0.5,9%,6
2413,6.3,0.38,0.17,Moderate,0.08,50.0,212.0,0.99-1.00,Acidic,0.66,9%,4
2414,7.1,0.21,0.28,Low,0.034,23.0,111.0,0.99-1.00,Acidic,0.64,10%,4
2415,6.2,0.38,0.18,Moderate,0.095,28.0,195.0,0.99-1.00,Acidic,0.71,9%,4
2416,8.2,0.24,0.3,Low,0.05,23.0,106.0,0.99-1.00,Highly Acidic,0.5,10%,5
2417,7.0,0.16,0.26,Low,0.047,30.0,220.0,0.99-1.00,Acidic,0.58,10%,6
2418,7.3,0.815,0.09,Moderate,0.044,45.0,204.0,0.99-1.00,Acidic,0.46,9%,5
2419,6.3,0.41,0.16,Low,0.032,25.0,98.0,0.99-1.00,Acidic,0.42,9%,5
2420,6.1,0.36,0.41,High,0.07,67.0,207.0,>1.00,Acidic,0.53,9%,5
2421,8.1,0.4,0.32,Moderate,0.031,23.0,118.0,,Acidic,0.46,13%,7
2422,6.8,0.26,0.43,Moderate,0.045,53.0,198.0,0.99-1.00,Acidic,0.55,9%,5
2423,,0.44,0.18,Moderate,0.096,28.0,210.0,0.99-1.00,Acidic,0.72,9%,5
2424,7.2,0.24,0.29,Low,0.036,17.0,117.0,0.99-1.00,Acidic,0.68,10%,6
2425,6.2,0.44,0.18,Moderate,0.096,28.0,210.0,0.99-1.00,Acidic,0.72,9%,5
2426,7.2,0.24,0.29,Low,0.036,17.0,117.0,0.99-1.00,Acidic,0.68,10%,6
2427,7.3,0.22,0.26,Low,0.04,32.0,172.0,0.99-1.00,Acidic,0.48,11%,6
2428,8.1,0.34,0.28,Moderate,0.04,70.0,230.0,0.99-1.00,Acidic,0.55,9%,6
2429,7.3,0.22,0.26,Low,0.04,32.0,172.0,0.99-1.00,Acidic,0.48,11%,6
2430,8.1,0.34,0.28,Moderate,0.04,70.0,230.0,0.99-1.00,Acidic,0.55,9%,6
2431,6.4,0.28,0.17,Moderate,0.042,61.0,195.0,0.99-1.00,Acidic,0.46,9%,5
2432,6.3,0.29,0.14,Moderate,0.045,50.0,177.0,0.99-1.00,Acidic,0.42,9%,5
2433,6.4,0.27,0.17,Moderate,0.044,60.0,198.0,0.99-1.00,Acidic,0.47,9%,5
2434,7.4,0.35,0.2,High,0.054,63.0,229.0,0.99-1.00,Acidic,0.5,8%,6
2435,8.3,0.28,0.27,High,0.045,48.0,253.0,>1.00,Acidic,0.56,9%,6
2436,6.4,0.35,0.35,Low,0.034,9.0,148.0,,Acidic,0.5,9%,4
2437,6.9,0.43,0.29,Moderate,0.056,29.0,183.0,0.99-1.00,Acidic,0.43,9%,5
2438,8.0,0.26,0.28,Low,0.05,34.0,150.0,0.99-1.00,Acidic,0.5,10%,6
2439,6.9,0.43,0.28,Moderate,0.056,29.0,183.0,0.99-1.00,Acidic,0.43,9%,5
2440,7.3,0.27,0.37,Moderate,0.042,36.0,130.0,0.99-1.00,Neutral,0.75,9%,6
2441,,0.46,0.26,Low,0.147,49.0,159.0,0.99-1.00,Acidic,0.47,10%,5
2442,7.2,0.2,0.29,Low,0.028,13.0,168.0,0.99-1.00,Acidic,1.06,11%,6
2443,7.6,0.285,0.32,High,0.063,32.0,201.0,0.99-1.00,Acidic,0.45,9%,5
2444,6.6,0.32,0.33,Low,0.052,40.0,219.5,0.99-1.00,Acidic,0.6,10%,5
2445,7.6,0.285,0.32,High,0.063,32.0,201.0,0.99-1.00,Acidic,0.45,9%,5
2446,6.6,0.34,0.34,Low,0.051,40.5,210.0,0.99-1.00,Acidic,0.61,10%,5
2447,6.6,0.32,0.33,Low,0.052,40.0,210.0,0.99-1.00,Acidic,0.6,10%,5
2448,6.5,0.27,0.26,Moderate,0.042,21.0,133.0,0.99-1.00,Acidic,0.64,9%,6
2449,6.6,0.26,0.27,Low,0.04,19.0,114.0,0.99-1.00,Acidic,0.62,10%,6
2450,6.7,0.27,0.26,Low,0.043,61.0,181.0,0.99-1.00,Acidic,0.63,10%,6
2451,6.6,0.56,0.15,Moderate,0.037,38.0,157.0,0.99-1.00,Acidic,0.52,9%,5
2452,6.6,0.56,0.15,Moderate,0.037,38.0,157.0,0.99-1.00,Acidic,0.52,9%,5
2453,7.3,0.19,0.27,Low,0.027,35.0,136.0,0.99-1.00,Acidic,0.54,11%,7
2454,6.3,0.2,0.26,Low,0.027,36.0,141.0,0.99-1.00,Acidic,0.56,10%,6
2455,7.1,0.29,0.3,High,0.036,58.0,201.0,0.99-1.00,Acidic,0.67,9%,5
2456,7.8,0.32,0.33,Moderate,0.031,47.0,194.0,0.99-1.00,Acidic,0.58,9%,6
2457,8.1,0.33,0.36,Moderate,0.037,36.0,156.0,0.99-1.00,Acidic,0.54,10%,6
2458,8.1,0.33,0.36,Moderate,0.037,36.0,156.0,0.99-1.00,Acidic,0.54,10%,6
2459,7.8,0.32,0.33,Moderate,0.031,47.0,194.0,0.99-1.00,Acidic,0.58,9%,6
2460,6.6,0.33,0.24,High,0.045,31.0,147.0,0.99-1.00,Acidic,0.52,9%,5
2461,6.6,0.33,0.24,High,0.045,31.0,147.0,0.99-1.00,Acidic,0.52,9%,5
2462,8.2,0.26,0.32,Low,0.053,11.0,71.0,0.99-1.00,Highly Acidic,0.49,9%,5
2463,8.3,0.25,0.33,Low,0.053,12.0,72.0,0.99-1.00,Highly Acidic,0.48,9%,5
2464,7.0,0.26,0.26,Moderate,0.039,37.0,184.0,0.99-1.00,Acidic,0.58,10%,7
2465,6.0,0.26,0.15,Low,0.053,35.0,124.0,0.99-1.00,Acidic,0.46,8%,5
2466,7.5,0.28,0.78,Moderate,0.041,53.0,161.0,0.99-1.00,Highly Acidic,0.44,8%,5
2467,7.5,0.27,0.79,Moderate,0.04,51.0,159.0,0.99-1.00,Highly Acidic,0.44,8%,5
2468,7.0,0.28,0.32,Low,0.038,27.0,128.0,0.99-1.00,Acidic,0.62,10%,6
2469,5.2,0.16,0.34,Low,0.029,26.0,77.0,0.99-1.00,Acidic,0.51,10%,6
2470,6.8,0.34,0.1,Low,0.049,29.0,118.0,0.99-1.00,Acidic,0.41,9%,5
2471,7.6,0.25,0.34,Low,0.056,34.0,176.0,0.99-1.00,Acidic,0.51,9%,5
2472,5.6,0.35,0.4,Low,0.022,23.0,174.0,0.99-1.00,Acidic,0.5,11%,7
2473,8.8,0.24,0.23,Moderate,0.032,12.0,97.0,0.99-1.00,Acidic,0.4,10%,6
2474,6.0,0.29,0.21,High,0.043,20.0,142.0,0.99-1.00,Acidic,0.54,10%,6
2475,6.1,0.27,0.31,Low,0.035,17.0,83.0,,Acidic,0.44,11%,7
2476,7.4,0.56,0.09,Low,0.071,19.0,117.0,0.99-1.00,Acidic,0.53,9%,5
2477,6.8,0.29,0.49,Low,0.142,52.0,148.0,0.99-1.00,Acidic,0.49,9%,6
2478,6.1,0.27,0.31,Low,0.035,17.0,83.0,0.99-1.00,Acidic,0.44,11%,7
2479,6.3,0.27,0.37,Moderate,0.047,58.0,215.0,,Acidic,0.48,9%,6
2480,6.6,0.24,0.3,High,0.052,18.0,143.0,0.99-1.00,Acidic,0.49,9%,6
2481,6.8,0.32,0.3,Low,0.049,22.0,113.0,0.99-1.00,Acidic,0.61,10%,5
2482,6.4,0.37,0.37,Low,0.041,39.5,216.5,0.99-1.00,Acidic,0.5,9%,6
2483,6.2,0.26,0.37,Moderate,0.047,54.0,201.0,0.99-1.00,Acidic,0.48,9%,6
2484,6.3,0.27,0.37,Moderate,0.047,58.0,215.0,0.99-1.00,Acidic,0.48,9%,6
2485,,0.3,0.16,Moderate,0.05,55.0,191.0,0.99-1.00,Acidic,0.49,9%,5
2486,8.0,0.28,0.32,Moderate,0.045,61.0,204.0,0.99-1.00,Acidic,0.55,10%,6
2487,6.7,0.24,0.32,Moderate,0.079,37.0,122.0,0.99-1.00,Acidic,0.45,8%,5
2488,7.9,0.27,0.27,Low,0.034,25.0,122.0,0.99-1.00,Highly Acidic,0.51,11%,6
2489,7.9,0.27,0.27,Low,0.034,25.0,122.0,0.99-1.00,Highly Acidic,0.51,11%,6
2490,,0.28,0.24,High,0.074,32.0,174.0,0.99-1.00,Acidic,0.44,9%,6
2491,7.7,0.39,0.49,Moderate,0.036,11.0,110.0,0.99-1.00,Acidic,0.76,10%,6
2492,6.0,0.2,0.24,Low,0.075,49.0,201.0,0.99-1.00,Acidic,0.43,9%,5
2493,6.1,0.28,0.24,High,0.074,32.0,174.0,0.99-1.00,Acidic,0.44,9%,6
2494,7.6,0.31,0.23,Moderate,0.054,20.0,139.0,0.99-1.00,Acidic,0.5,9%,4
2495,7.6,,0.23,Moderate,0.054,20.0,139.0,0.99-1.00,Acidic,0.5,9%,4
2496,6.3,0.18,0.22,Low,0.043,45.0,155.0,0.99-1.00,Acidic,0.48,10%,5
2497,8.6,0.23,0.25,Moderate,0.031,13.0,96.0,0.99-1.00,Acidic,0.4,10%,5
2498,6.8,0.21,0.36,High,0.046,32.0,133.0,,Acidic,0.48,8%,5
2499,6.8,0.21,0.36,High,0.046,32.0,133.0,>1.00,Acidic,0.49,8%,5
2500,6.9,0.26,0.31,Moderate,0.039,37.0,175.0,0.99-1.00,Neutral,0.49,11%,6
2501,6.8,0.21,0.36,High,0.046,32.0,133.0,>1.00,Acidic,0.48,8%,5
2502,6.4,0.31,0.4,Low,0.039,39.0,191.0,0.99-1.00,Acidic,0.52,9%,5
2503,8.6,0.34,0.36,Low,0.045,11.0,119.0,0.99-1.00,Acidic,0.47,9%,4
2504,8.6,0.33,0.36,Low,0.045,11.0,119.0,0.99-1.00,Acidic,0.47,9%,4
2505,8.5,0.3,0.28,Low,0.054,54.0,174.0,0.99-1.00,Acidic,0.43,9%,6
2506,7.4,0.4,0.41,High,0.053,37.0,194.0,0.99-1.00,Acidic,0.63,9%,6
2507,6.6,0.32,0.32,Moderate,0.044,63.0,212.0,0.99-1.00,Acidic,0.48,9%,6
2508,7.1,0.34,0.31,Low,0.032,36.0,140.0,0.99-1.00,Acidic,0.47,12%,7
2509,6.6,0.26,0.25,Moderate,0.045,45.0,178.0,0.99-1.00,Acidic,0.43,9%,6
2510,8.0,0.27,0.57,Moderate,0.053,18.0,134.0,0.99-1.00,Acidic,0.68,9%,5
2511,6.2,0.28,0.45,Moderate,0.045,46.0,203.0,0.99-1.00,Acidic,0.46,9%,6
2512,6.2,0.3,0.49,Moderate,0.058,68.0,215.0,0.99-1.00,Acidic,0.6,9%,6
2513,5.6,0.175,0.29,Low,0.043,20.0,67.0,0.99-1.00,Acidic,0.48,9%,6
2514,6.9,0.34,0.36,Low,0.032,13.0,145.0,0.99-1.00,Acidic,0.52,9%,5
2515,6.9,0.34,0.3,Low,0.029,34.0,148.0,0.99-1.00,Acidic,0.49,12%,7
2516,7.1,0.12,0.3,Low,0.018,15.0,37.0,0.99-1.00,Acidic,0.52,11%,7
2517,7.1,0.32,0.29,Low,0.038,33.0,170.0,0.99-1.00,Acidic,0.64,10%,6
2518,7.3,0.51,0.29,Moderate,0.034,61.0,224.0,0.99-1.00,Acidic,0.56,9%,6
2519,7.1,0.12,0.3,Low,0.018,15.0,37.0,0.99-1.00,Acidic,0.52,11%,7
2520,6.3,0.24,0.55,Moderate,0.04,67.0,216.0,0.99-1.00,Acidic,0.5,9%,5
2521,7.5,0.41,0.23,High,0.054,28.0,174.0,0.99-1.00,Acidic,0.49,9%,5
2522,6.5,0.18,0.33,Low,0.029,35.0,138.0,0.99-1.00,Acidic,0.6,11%,7
2523,7.3,0.17,0.24,Moderate,0.121,32.0,162.0,0.99-1.00,Acidic,0.38,10%,8
2524,8.2,0.2,0.38,Low,0.053,41.0,174.0,0.99-1.00,Acidic,0.41,11%,5
2525,7.5,0.41,0.23,High,0.054,28.0,174.0,0.99-1.00,Acidic,0.49,9%,5
2526,7.3,0.17,0.24,Moderate,0.121,32.0,162.0,0.99-1.00,Acidic,0.38,10%,8
2527,6.5,0.18,0.33,Low,0.029,35.0,138.0,0.99-1.00,Acidic,0.6,11%,7
2528,7.3,0.16,0.35,Low,0.036,29.0,108.0,0.99-1.00,Acidic,0.51,10%,6
2529,6.4,0.16,0.37,Low,0.037,27.0,109.0,0.99-1.00,Acidic,0.5,9%,6
2530,6.6,0.42,0.13,Moderate,0.044,26.0,158.0,0.99-1.00,Acidic,0.47,9%,5
2531,5.8,0.3,0.12,Low,0.036,57.0,163.0,0.99-1.00,Acidic,0.59,10%,6
2532,6.7,0.57,0.27,Moderate,0.049,8.0,178.0,0.99-1.00,Acidic,0.38,9%,4
2533,6.7,0.54,0.27,Moderate,0.049,8.0,178.0,0.99-1.00,Acidic,0.38,9%,4
2534,6.4,0.22,0.3,Moderate,0.046,53.0,149.0,0.99-1.00,Acidic,0.34,10%,5
2535,6.8,0.23,0.3,Low,0.043,19.0,95.0,0.99-1.00,Acidic,0.46,10%,7
2536,9.0,0.26,0.34,Low,0.029,21.0,162.0,0.99-1.00,Acidic,0.5,10%,6
2537,6.5,0.23,0.25,High,0.046,15.0,110.0,0.99-1.00,Acidic,0.42,9%,6
2538,5.9,0.28,0.14,Moderate,0.032,30.0,142.0,0.99-1.00,Acidic,0.44,9%,6
2539,5.9,0.28,0.14,Moderate,0.032,30.0,142.0,0.99-1.00,Acidic,0.42,9%,6
2540,6.2,0.27,0.18,Low,0.028,20.0,111.0,0.99-1.00,Acidic,0.5,10%,5
2541,9.0,0.29,0.34,Moderate,0.03,34.0,177.0,0.99-1.00,Acidic,0.47,10%,5
2542,9.0,0.26,0.34,Low,0.029,21.0,162.0,0.99-1.00,Acidic,0.5,10%,6
2543,8.9,0.27,0.34,Moderate,0.029,19.5,166.0,0.99-1.00,Acidic,0.48,10%,5
2544,,0.23,0.25,High,0.046,15.0,110.0,0.99-1.00,Acidic,0.42,9%,6
2545,6.9,0.32,0.3,Low,0.036,28.0,117.0,0.99-1.00,Acidic,0.48,11%,6
2546,7.2,0.22,0.24,Low,0.041,17.0,159.0,0.99-1.00,Acidic,0.53,11%,6
2547,6.7,0.5,0.38,Moderate,0.046,26.0,175.0,0.99-1.00,Acidic,0.54,9%,5
2548,6.2,0.33,0.14,Low,0.052,27.0,128.0,0.99-1.00,Acidic,0.48,9%,5
2549,6.3,0.26,0.42,Moderate,0.045,62.0,209.0,0.99-1.00,Acidic,0.53,9%,6
2550,7.5,0.2,0.47,High,0.052,51.0,188.0,0.99-1.00,Acidic,0.62,9%,5
2551,6.2,0.33,0.14,Low,0.052,27.0,128.0,0.99-1.00,Acidic,0.48,9%,5
2552,6.3,0.26,0.42,Moderate,0.045,62.0,209.0,0.99-1.00,Acidic,0.53,9%,6
2553,6.6,0.36,0.52,Moderate,0.046,8.0,110.0,0.99-1.00,Acidic,0.46,9%,5
2554,6.3,0.13,0.42,Low,0.043,63.0,146.0,0.99-1.00,Acidic,0.72,11%,7
2555,6.4,0.15,0.44,Low,0.043,67.0,150.0,0.99-1.00,Acidic,0.76,11%,7
2556,6.3,0.13,0.42,Low,0.043,63.0,146.0,0.99-1.00,Acidic,0.72,11%,7
2557,,0.23,0.64,Moderate,0.033,54.0,170.0,0.99-1.00,Acidic,0.53,8%,5
2558,6.4,0.15,0.44,Low,0.043,67.0,150.0,0.99-1.00,Acidic,0.73,11%,7
2559,6.3,0.13,0.42,Low,0.043,63.0,146.0,0.99-1.00,Acidic,0.72,11%,7
2560,5.7,0.255,0.65,Low,0.079,17.0,137.0,,Acidic,0.42,9%,5
2561,,0.32,0.26,Low,0.03,11.0,103.0,,Acidic,0.42,11%,6
2562,6.9,0.28,0.22,Moderate,0.052,36.0,131.0,0.99-1.00,Acidic,0.46,9%,5
2563,6.9,0.32,0.26,Low,0.03,11.0,103.0,0.99-1.00,Acidic,0.42,11%,6
2564,5.7,0.255,0.65,Low,0.079,17.0,137.0,0.99-1.00,Acidic,0.42,9%,5
2565,6.6,0.41,0.16,Low,0.037,28.0,160.0,0.99-1.00,Highly Acidic,0.45,10%,6
2566,7.3,0.37,0.16,High,0.048,59.0,240.0,0.99-1.00,Acidic,0.45,8%,5
2567,6.9,0.21,0.24,Low,0.021,17.0,80.0,<0.99,Acidic,0.46,12%,7
2568,6.6,0.24,0.28,Low,0.028,39.0,132.0,0.99-1.00,Acidic,0.46,11%,5
2569,6.8,0.28,0.36,Moderate,0.043,60.0,207.0,0.99-1.00,Acidic,0.49,9%,6
2570,6.6,0.24,0.25,Moderate,0.034,25.0,135.0,0.99-1.00,Acidic,0.59,10%,6
2571,6.6,0.24,0.28,Low,0.028,39.0,132.0,0.99-1.00,Acidic,0.46,11%,5
2572,7.0,0.16,0.32,Low,0.032,29.0,80.0,<0.99,Acidic,0.36,12%,6
2573,,0.14,0.28,Low,0.026,10.0,56.0,0.99-1.00,Acidic,0.45,9%,5
2574,6.3,0.34,0.36,Low,0.035,31.0,185.0,0.99-1.00,Acidic,0.48,9%,5
2575,6.8,0.26,0.24,Low,0.043,70.0,154.0,0.99-1.00,Acidic,0.52,10%,5
2576,6.7,0.17,0.42,Moderate,0.038,85.0,182.0,0.99-1.00,Acidic,0.44,8%,6
2577,6.5,0.27,0.4,Moderate,0.039,74.0,227.0,0.99-1.00,Acidic,0.5,9%,5
2578,,0.25,0.36,Moderate,0.037,63.0,206.0,0.99-1.00,Acidic,0.5,9%,5
2579,5.8,0.3,0.27,Low,0.014,45.0,104.0,<0.99,Acidic,0.56,12%,7
2580,6.4,0.28,0.56,Low,0.156,49.0,106.0,0.99-1.00,Acidic,0.37,9%,6
2581,7.7,0.3,0.26,High,0.053,36.0,174.0,0.99-1.00,Acidic,0.5,10%,5
2582,6.8,0.18,0.3,Moderate,0.062,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7
2583,6.8,0.18,0.3,Moderate,0.062,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7
2584,6.8,0.18,0.3,Moderate,0.062,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7
2585,6.8,0.18,0.3,Moderate,0.062,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7
2586,6.8,0.17,0.3,Moderate,0.062,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7
2587,6.8,0.18,0.3,Moderate,0.062,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7
2588,5.1,0.14,0.25,Low,0.039,15.0,89.0,0.99-1.00,Acidic,0.43,9%,6
2589,6.8,0.18,0.3,Moderate,0.062,19.0,171.0,0.99-1.00,Acidic,0.52,9%,7
2590,7.2,0.615,0.1,Low,0.068,25.0,154.0,0.99-1.00,Acidic,0.48,9%,4
2591,6.9,0.13,0.28,High,0.05,47.0,132.0,0.99-1.00,Acidic,0.42,10%,6
2592,6.7,0.34,0.3,Moderate,0.059,24.0,152.0,,Acidic,0.64,11%,7
2593,7.3,0.32,0.29,Low,0.038,32.0,144.0,0.99-1.00,Acidic,0.55,10%,5
2594,,0.21,0.29,Moderate,0.048,49.0,147.0,0.99-1.00,Acidic,0.38,10%,5
2595,5.4,0.5,0.13,Low,0.028,12.0,107.0,0.99-1.00,Acidic,0.88,13%,7
2596,8.2,0.52,0.34,Low,0.042,18.0,167.0,0.99-1.00,Acidic,0.39,10%,5
2597,7.8,0.28,0.31,Low,0.046,28.0,208.0,0.99-1.00,Acidic,0.64,9%,5
2598,,0.22,0.34,Low,0.023,56.0,115.0,<0.99,Acidic,0.7,11%,6
2599,7.8,0.28,0.31,Low,0.046,28.0,208.0,0.99-1.00,Acidic,0.67,9%,5
2600,6.9,0.32,0.27,High,0.034,58.0,185.0,0.99-1.00,Acidic,0.6,9%,6
2601,,0.11,0.42,Low,0.042,51.0,132.0,0.99-1.00,Acidic,0.74,11%,7
2602,6.2,0.26,0.32,High,0.031,64.0,185.0,0.99-1.00,Acidic,0.61,9%,5
2603,6.4,0.22,0.34,Low,0.023,56.0,115.0,<0.99,Acidic,0.7,11%,6
2604,6.7,0.3,0.29,Low,0.025,37.0,107.0,0.99-1.00,Acidic,0.63,11%,7
2605,6.7,0.3,0.29,Low,0.025,37.0,107.0,0.99-1.00,Acidic,0.63,11%,7
2606,7.1,0.2,0.3,Low,0.019,4.0,28.0,<0.99,Acidic,0.36,12%,6
2607,7.2,0.2,0.36,Low,0.028,22.0,157.0,0.99-1.00,Acidic,0.49,10%,6
2608,8.9,0.26,0.33,Moderate,0.024,47.0,202.0,0.99-1.00,Acidic,0.46,10%,6
2609,7.5,0.25,0.32,Moderate,0.024,53.0,209.0,0.99-1.00,Acidic,0.46,10%,6
2610,7.1,0.2,0.3,Low,0.019,4.0,28.0,<0.99,Acidic,0.36,12%,6
2611,6.3,0.27,0.46,Moderate,0.053,44.0,177.0,0.99-1.00,Acidic,0.67,9%,5
2612,6.5,0.3,0.39,Moderate,0.038,61.0,219.0,0.99-1.00,Acidic,0.5,9%,5
2613,6.7,0.3,0.29,Low,0.025,37.0,107.0,0.99-1.00,Acidic,0.63,11%,7
2614,6.6,0.36,0.52,Moderate,0.05,29.0,140.0,0.99-1.00,Acidic,0.4,9%,5
2615,6.15,0.21,0.37,Low,0.021,20.0,80.0,0.99-1.00,Acidic,0.47,12%,5
2616,6.5,0.18,0.41,High,0.039,47.0,129.0,0.99-1.00,Acidic,0.72,10%,7
2617,6.5,0.18,0.41,High,0.039,47.0,129.0,0.99-1.00,Acidic,0.72,10%,7
2618,,0.18,0.41,High,0.039,47.0,129.0,0.99-1.00,Acidic,0.72,10%,7
2619,6.6,0.26,0.21,Low,0.026,48.0,126.0,0.99-1.00,Acidic,0.38,11%,7
2620,6.6,0.35,0.35,Low,0.063,31.0,150.0,0.99-1.00,Acidic,0.47,9%,6
2621,6.5,0.28,0.28,High,0.041,40.0,144.0,>1.00,Acidic,0.38,8%,5
2622,6.6,0.36,0.52,Moderate,0.05,29.0,140.0,0.99-1.00,Acidic,0.4,9%,5
2623,6.6,0.26,0.21,Low,0.026,48.0,126.0,0.99-1.00,Acidic,0.38,11%,7
2624,6.5,0.18,0.41,High,0.039,47.0,129.0,0.99-1.00,Acidic,0.72,10%,7
2625,6.15,0.21,0.37,Low,0.021,20.0,80.0,0.99-1.00,Acidic,0.47,12%,5
2626,4.5,0.19,0.21,Low,0.033,89.0,159.0,0.99-1.00,Acidic,0.42,8%,5
2627,8.0,0.24,0.26,Low,0.033,36.0,136.0,0.99-1.00,Acidic,0.51,10%,7
2628,7.8,0.17,0.23,Low,0.029,39.0,128.0,0.99-1.00,Acidic,0.41,10%,7
2629,7.0,0.24,0.24,Moderate,0.03,42.0,219.0,0.99-1.00,Acidic,0.46,10%,6
2630,5.8,0.6,0.0,Low,0.044,72.0,197.0,0.99-1.00,Acidic,0.43,10%,5
2631,5.9,0.445,0.26,Low,0.027,23.0,109.0,0.99-1.00,Acidic,0.36,10%,6
2632,6.7,0.28,0.28,Low,0.012,36.0,100.0,0.99-1.00,Acidic,0.39,11%,7
2633,6.8,0.44,0.2,High,0.065,61.0,186.0,0.99-1.00,Acidic,0.45,8%,5
2634,7.2,0.24,0.27,Moderate,0.034,40.0,174.0,0.99-1.00,Acidic,0.44,9%,5
2635,8.7,0.31,0.73,High,0.044,27.0,191.0,>1.00,Highly Acidic,0.88,8%,5
2636,8.2,0.32,0.26,Low,0.062,26.0,87.0,<0.99,Acidic,0.47,12%,6
2637,7.2,0.24,0.27,Moderate,0.034,40.0,174.0,0.99-1.00,Acidic,0.44,9%,5
2638,8.7,0.31,0.73,High,0.044,27.0,191.0,>1.00,Highly Acidic,0.88,8%,5
2639,7.5,0.13,0.38,Low,0.023,42.0,104.0,0.99-1.00,Acidic,0.53,11%,6
2640,9.2,0.14,0.37,Low,0.034,36.0,84.0,0.99-1.00,Acidic,0.55,11%,6
2641,7.4,0.2,0.37,Low,0.028,28.0,89.0,,Acidic,0.61,11%,6
2642,6.1,0.15,0.35,High,0.042,55.0,158.0,0.99-1.00,Acidic,0.37,10%,5
2643,7.6,0.23,0.4,Low,0.066,14.0,91.0,0.99-1.00,Acidic,0.8,9%,5
2644,8.1,0.33,0.22,Low,0.047,24.0,151.0,0.99-1.00,Acidic,0.47,10%,5
2645,7.15,0.18,0.24,Moderate,0.119,56.0,178.0,,Acidic,0.44,10%,6
2646,6.7,0.12,0.3,Low,0.048,38.0,113.0,0.99-1.00,Acidic,0.44,10%,7
2647,5.7,0.18,0.36,Low,0.046,9.0,71.0,0.99-1.00,Acidic,0.68,10%,7
2648,5.8,0.15,0.28,Low,0.037,43.0,127.0,0.99-1.00,Acidic,0.51,9%,5
2649,6.6,0.23,0.29,High,0.057,29.0,144.0,0.99-1.00,Acidic,0.53,10%,6
2650,7.15,0.17,0.24,Moderate,0.119,56.0,178.0,0.99-1.00,Neutral,0.44,10%,6
2651,7.0,0.34,0.39,Low,0.066,43.0,162.0,0.99-1.00,Acidic,0.53,9%,5
2652,6.4,0.68,0.26,Low,0.069,25.0,146.0,0.99-1.00,Acidic,0.4,9%,5
2653,7.3,0.22,0.31,Low,0.018,45.0,80.0,<0.99,Acidic,0.34,12%,7
2654,6.4,0.28,0.27,Moderate,0.042,45.0,148.0,0.99-1.00,Acidic,0.46,8%,5
2655,6.9,0.4,0.22,Low,0.081,76.0,303.0,0.99-1.00,Acidic,0.57,9%,5
2656,6.8,0.18,0.23,Low,0.034,71.0,204.0,0.99-1.00,Acidic,0.69,10%,5
2657,7.1,0.23,0.24,Low,0.039,60.0,196.0,0.99-1.00,Acidic,0.78,10%,4
